"","tahun","pekan_ke","jumlah","jumlah_pekanlalu","lebih_baik"
"1",2020,11,1,0,FALSE
"2",2020,12,0,1,TRUE
"3",2020,13,7,0,FALSE
"4",2020,14,15,7,FALSE
"5",2020,15,23,15,FALSE
"6",2020,16,11,23,TRUE
"7",2020,17,21,11,FALSE
"8",2020,18,28,21,FALSE
"9",2020,19,48,28,FALSE
"10",2020,20,38,48,TRUE
"11",2020,21,19,38,TRUE
"12",2020,22,11,19,TRUE
"13",2020,23,12,11,FALSE
"14",2020,24,24,12,FALSE
"15",2020,25,18,24,TRUE
"16",2020,26,22,18,FALSE
"17",2020,27,33,22,FALSE
"18",2020,28,41,33,FALSE
"19",2020,29,78,41,FALSE
"20",2020,30,107,78,FALSE
"21",2020,31,212,107,FALSE
"22",2020,32,96,212,TRUE
"23",2020,33,179,96,FALSE
"24",2020,34,134,179,TRUE
