"","tanggal","kasus_baru","meninggal","sembuh"
"1",2020-03-16,1,0,0
"2",2020-03-17,0,0,0
"3",2020-03-18,0,0,0
"4",2020-03-19,0,0,0
"5",2020-03-20,0,0,1
"6",2020-03-21,0,0,0
"7",2020-03-22,0,0,0
"8",2020-03-23,0,1,0
"9",2020-03-24,0,0,0
"10",2020-03-25,0,1,0
"11",2020-03-26,0,0,0
"12",2020-03-27,1,0,0
"13",2020-03-28,0,0,0
"14",2020-03-29,0,0,0
"15",2020-03-30,1,0,1
"16",2020-03-31,5,0,0
"17",2020-04-01,5,0,1
"18",2020-04-02,0,1,0
"19",2020-04-03,0,0,0
"20",2020-04-04,5,0,0
"21",2020-04-05,1,0,0
"22",2020-04-06,3,0,1
"23",2020-04-07,1,0,0
"24",2020-04-08,0,3,3
"25",2020-04-09,2,0,3
"26",2020-04-10,0,0,3
"27",2020-04-11,0,0,0
"28",2020-04-12,0,0,5
"29",2020-04-13,16,0,0
"30",2020-04-14,5,0,4
"31",2020-04-15,1,0,0
"32",2020-04-16,1,0,0
"33",2020-04-17,1,1,3
"34",2020-04-18,3,0,2
"35",2020-04-19,0,0,1
"36",2020-04-20,2,0,0
"37",2020-04-21,3,0,3
"38",2020-04-22,3,0,5
"39",2020-04-23,1,0,1
"40",2020-04-24,1,0,0
"41",2020-04-25,2,0,0
"42",2020-04-26,3,0,0
"43",2020-04-27,1,0,2
"44",2020-04-28,10,0,1
"45",2020-04-29,1,0,3
"46",2020-04-30,1,0,0
"47",2020-05-01,9,0,5
"48",2020-05-02,10,0,0
"49",2020-05-03,1,0,0
"50",2020-05-04,0,0,4
"51",2020-05-05,6,0,1
"52",2020-05-06,1,0,5
"53",2020-05-07,15,0,1
"54",2020-05-08,6,0,0
"55",2020-05-09,3,0,2
"56",2020-05-10,7,0,0
"57",2020-05-11,6,1,6
"58",2020-05-12,10,0,0
"59",2020-05-13,12,0,1
"60",2020-05-14,4,0,7
"61",2020-05-15,3,0,12
"62",2020-05-16,6,0,1
"63",2020-05-17,5,0,3
"64",2020-05-18,1,0,3
"65",2020-05-19,7,0,12
"66",2020-05-20,2,0,8
"67",2020-05-21,6,0,7
"68",2020-05-22,5,0,2
"69",2020-05-23,5,0,6
"70",2020-05-24,1,0,4
"71",2020-05-25,0,0,1
"72",2020-05-26,0,0,4
"73",2020-05-27,2,0,9
"74",2020-05-28,0,0,8
"75",2020-05-29,2,0,6
"76",2020-05-30,3,0,1
"77",2020-05-31,3,0,7
"78",2020-06-01,1,0,0
"79",2020-06-02,0,0,1
"80",2020-06-03,0,0,1
"81",2020-06-04,0,0,3
"82",2020-06-05,1,0,6
"83",2020-06-06,4,0,5
"84",2020-06-07,2,0,2
"85",2020-06-08,3,0,7
"86",2020-06-09,2,0,0
"87",2020-06-10,1,0,1
"88",2020-06-11,2,0,5
"89",2020-06-12,10,0,5
"90",2020-06-13,2,0,6
"91",2020-06-14,5,0,1
"92",2020-06-15,3,0,2
"93",2020-06-16,1,0,4
"94",2020-06-17,3,0,2
"95",2020-06-18,0,0,7
"96",2020-06-19,1,0,4
"97",2020-06-20,8,0,0
"98",2020-06-21,3,0,7
"99",2020-06-22,0,0,0
"100",2020-06-23,3,0,5
"101",2020-06-24,1,0,13
"102",2020-06-25,7,0,3
"103",2020-06-26,3,0,3
"104",2020-06-27,2,0,1
"105",2020-06-28,2,0,1
"106",2020-06-29,0,0,1
"107",2020-06-30,7,0,1
"108",2020-07-01,1,0,3
"109",2020-07-02,6,1,4
"110",2020-07-03,4,0,3
"111",2020-07-04,1,0,1
"112",2020-07-05,6,0,0
"113",2020-07-06,8,0,5
"114",2020-07-07,7,0,3
"115",2020-07-08,3,1,1
"116",2020-07-09,7,0,4
"117",2020-07-10,7,0,3
"118",2020-07-11,7,0,1
"119",2020-07-12,1,0,3
"120",2020-07-13,8,0,8
"121",2020-07-14,8,1,5
"122",2020-07-15,9,0,3
"123",2020-07-16,8,0,0
"124",2020-07-17,4,0,2
"125",2020-07-18,8,0,8
"126",2020-07-19,15,1,0
"127",2020-07-20,6,1,3
"128",2020-07-21,28,1,3
"129",2020-07-22,21,2,1
"130",2020-07-23,10,0,4
"131",2020-07-24,23,1,6
"132",2020-07-25,17,1,6
"133",2020-07-26,7,1,0
"134",2020-07-27,15,0,4
"135",2020-07-28,14,1,5
"136",2020-07-29,15,0,12
"137",2020-07-30,23,0,14
"138",2020-07-31,64,0,16
"139",2020-08-01,67,1,11
"140",2020-08-02,19,0,12
"141",2020-08-03,12,0,13
"142",2020-08-04,12,0,14
"143",2020-08-05,17,0,29
"144",2020-08-06,18,0,20
"145",2020-08-07,19,0,29
"146",2020-08-08,16,2,27
"147",2020-08-09,8,1,18
"148",2020-08-10,14,1,23
"149",2020-08-11,4,0,16
"150",2020-08-12,20,1,24
"151",2020-08-13,11,0,13
"152",2020-08-14,35,2,12
"153",2020-08-15,46,0,4
"154",2020-08-16,33,0,13
"155",2020-08-17,16,0,7
"156",2020-08-18,18,1,13
"157",2020-08-19,31,0,18
"158",2020-08-20,48,2,52
"159",2020-08-21,25,1,28
"160",2020-08-22,15,1,15
"161",2020-08-23,15,0,18
